year,state,jobs,addicts
2020-01-01,W.P. Putrajaya,kerajaan,
2021-01-01,W.P. Putrajaya,kerajaan,
2022-01-01,W.P. Putrajaya,kerajaan,
2023-01-01,W.P. Putrajaya,kerajaan,1
2016-01-01,Malaysia,penuntut,298
2017-01-01,Malaysia,penuntut,281
2018-01-01,Malaysia,penuntut,186
2019-01-01,Malaysia,penuntut,159
2020-01-01,Malaysia,penuntut,109
2021-01-01,Malaysia,penuntut,103
2022-01-01,Malaysia,penuntut,84
2023-01-01,Malaysia,penuntut,79
2020-01-01,Johor,penuntut,5
2021-01-01,Johor,penuntut,3
2022-01-01,Johor,penuntut,4
2023-01-01,Johor,penuntut,3
2020-01-01,Kedah,penuntut,10
2021-01-01,Kedah,penuntut,11
2022-01-01,Kedah,penuntut,4
2023-01-01,Kedah,penuntut,5
2020-01-01,Kelantan,penuntut,9
2021-01-01,Kelantan,penuntut,17
2022-01-01,Kelantan,penuntut,16
2023-01-01,Kelantan,penuntut,11
2020-01-01,Melaka,penuntut,3
2021-01-01,Melaka,penuntut,2
2022-01-01,Melaka,penuntut,2
2023-01-01,Melaka,penuntut,2
2020-01-01,Negeri Sembilan,penuntut,1
2021-01-01,Negeri Sembilan,penuntut,8
2022-01-01,Negeri Sembilan,penuntut,2
2023-01-01,Negeri Sembilan,penuntut,1
2020-01-01,Pahang,penuntut,14
2021-01-01,Pahang,penuntut,4
2022-01-01,Pahang,penuntut,3
2023-01-01,Pahang,penuntut,4
