date,volume,value
2022-03-18,153907,128725721.06
2022-03-19,97840,40581883.09
2022-03-20,96703,37619642.11
2022-03-21,185918,129106439.35
2022-03-22,201675,128684406.93
2022-03-23,174228,117060325.39
2022-03-24,205464,138755821.94
2022-03-25,373986,197620522.1
2022-03-26,194971,63164800.85
2022-03-27,175170,51083179.05
2022-03-28,310643,192929034.18
2022-03-29,269670,182514543.46
2022-03-30,271885,197158701.86
2022-03-31,333822,208417508.11
2022-04-01,296840,131382823.76
2022-04-02,178272,59505935.67
2022-04-03,156957,47137435.63
2022-04-04,248725,116138435.79
2022-04-05,240547,118000054.35
2022-04-06,245179,125382786.74
2022-04-07,249102,147368162.6
2022-04-08,215471,137560030.35
2022-04-09,129918,50681342.85
2022-04-10,120658,44894880.67
2022-04-11,208101,131499222.06
2022-04-12,192340,133779732.13
2022-04-13,179236,132982814.01
2022-04-14,176962,136920998.99
2022-04-15,176613,154844217.57
2022-04-16,98616,42458986.18
2022-04-17,90733,42131627.1
2022-04-18,183345,142880708.99
2022-04-19,153445,79266353.89
2022-04-20,194856,150992207.73
2022-04-21,209305,173558883.12
2022-04-22,236913,176233227.58
2022-04-23,145657,59894125.97
2022-04-24,134465,47214160.97
2022-04-25,396926,205823884.02
2022-04-26,349660,228990385.67
2022-04-27,323385,247807851.94
2022-04-28,333989,260212629.6
2022-04-29,338097,295852833.98
2022-04-30,251185,100616121.31
2022-05-01,177759,61207653.51
2022-05-02,108868,39465928.24
2022-05-03,108339,41049141.96
2022-05-04,120692,44830896.13
2022-05-05,225218,121487207.14
2022-05-06,207934,130452491.46
2022-05-07,149998,57859275.21
2022-05-08,151852,49395970.59
2022-05-09,271614,136724515.46
2022-05-10,242550,151420534.36
2022-05-11,219419,142406855.8
2022-05-12,206134,138829121.47
2022-05-13,195866,180508152.65
2022-05-14,113693,51252768.52
2022-05-15,95763,38918728.43
2022-05-16,126453,57159773.65
2022-05-17,192764,142695624.52
2022-05-18,182155,133104257.95
2022-05-19,177116,137819149.07
2022-05-20,183380,156019992.15
