date,time,origin,destination,ridership
2022-07-02,08:00,Woodlands CIQ,JB Sentral,325
2022-07-02,09:00,Woodlands CIQ,JB Sentral,326
2022-07-02,10:00,JB Sentral,Woodlands CIQ,201
2022-07-02,11:00,JB Sentral,Woodlands CIQ,99
2022-07-02,11:00,Woodlands CIQ,JB Sentral,321
2022-07-02,12:00,JB Sentral,Woodlands CIQ,95
2022-07-02,12:00,Woodlands CIQ,JB Sentral,321
2022-07-02,13:00,Woodlands CIQ,JB Sentral,321
2022-07-02,14:00,JB Sentral,Woodlands CIQ,135
2022-07-02,15:00,JB Sentral,Woodlands CIQ,243
2022-07-02,15:00,Woodlands CIQ,JB Sentral,323
2022-07-02,16:00,JB Sentral,Woodlands CIQ,241
2022-07-02,16:00,Woodlands CIQ,JB Sentral,242
2022-07-02,17:00,JB Sentral,Woodlands CIQ,241
2022-07-02,17:00,Woodlands CIQ,JB Sentral,244
2022-07-02,18:00,Woodlands CIQ,JB Sentral,242
2022-07-02,19:00,JB Sentral,Woodlands CIQ,283
2022-07-02,20:00,JB Sentral,Woodlands CIQ,321
2022-07-02,20:00,Woodlands CIQ,JB Sentral,215
2022-07-02,21:00,JB Sentral,Woodlands CIQ,321
2022-07-02,21:00,Woodlands CIQ,JB Sentral,199
2022-07-02,22:00,JB Sentral,Woodlands CIQ,321
2022-07-02,22:00,Woodlands CIQ,JB Sentral,120
2022-07-02,23:00,Woodlands CIQ,JB Sentral,62
2022-07-03,05:00,JB Sentral,Woodlands CIQ,82
2022-07-03,06:00,JB Sentral,Woodlands CIQ,99
2022-07-03,07:00,JB Sentral,Woodlands CIQ,112
2022-07-03,08:00,JB Sentral,Woodlands CIQ,191
2022-07-03,08:00,Woodlands CIQ,JB Sentral,242
2022-07-03,09:00,Woodlands CIQ,JB Sentral,243
2022-07-03,10:00,JB Sentral,Woodlands CIQ,243
2022-07-03,11:00,JB Sentral,Woodlands CIQ,324
2022-07-03,11:00,Woodlands CIQ,JB Sentral,241
2022-07-03,12:00,JB Sentral,Woodlands CIQ,320
2022-07-03,12:00,Woodlands CIQ,JB Sentral,242
2022-07-03,13:00,Woodlands CIQ,JB Sentral,177
2022-07-03,14:00,JB Sentral,Woodlands CIQ,323
2022-07-03,15:00,JB Sentral,Woodlands CIQ,322
2022-07-03,15:00,Woodlands CIQ,JB Sentral,141
2022-07-03,16:00,JB Sentral,Woodlands CIQ,323
2022-07-03,16:00,Woodlands CIQ,JB Sentral,77
2022-07-03,17:00,JB Sentral,Woodlands CIQ,322
2022-07-03,17:00,Woodlands CIQ,JB Sentral,94
2022-07-03,18:00,Woodlands CIQ,JB Sentral,72
2022-07-03,19:00,JB Sentral,Woodlands CIQ,322
2022-07-03,20:00,JB Sentral,Woodlands CIQ,322
2022-07-03,20:00,Woodlands CIQ,JB Sentral,61
2022-07-03,21:00,JB Sentral,Woodlands CIQ,322
2022-07-03,21:00,Woodlands CIQ,JB Sentral,62
2022-07-03,22:00,JB Sentral,Woodlands CIQ,321
2022-07-03,22:00,Woodlands CIQ,JB Sentral,70
2022-07-03,23:00,Woodlands CIQ,JB Sentral,19
2022-07-04,05:00,JB Sentral,Woodlands CIQ,481
2022-07-04,06:00,JB Sentral,Woodlands CIQ,641
2022-07-04,07:00,JB Sentral,Woodlands CIQ,640
2022-07-04,08:00,JB Sentral,Woodlands CIQ,241
2022-07-04,08:00,Woodlands CIQ,JB Sentral,240
2022-07-04,09:00,Woodlands CIQ,JB Sentral,241
2022-07-04,10:00,JB Sentral,Woodlands CIQ,177
2022-07-04,11:00,JB Sentral,Woodlands CIQ,161
2022-07-04,11:00,Woodlands CIQ,JB Sentral,244
2022-07-04,12:00,JB Sentral,Woodlands CIQ,243
2022-07-04,12:00,Woodlands CIQ,JB Sentral,241
2022-07-04,13:00,Woodlands CIQ,JB Sentral,106
2022-07-04,14:00,JB Sentral,Woodlands CIQ,246
2022-07-04,15:00,JB Sentral,Woodlands CIQ,243
2022-07-04,15:00,Woodlands CIQ,JB Sentral,79
2022-07-04,16:00,JB Sentral,Woodlands CIQ,242
2022-07-04,16:00,Woodlands CIQ,JB Sentral,71
2022-07-04,17:00,JB Sentral,Woodlands CIQ,244
2022-07-04,17:00,Woodlands CIQ,JB Sentral,72
2022-07-04,18:00,Woodlands CIQ,JB Sentral,193
2022-07-04,19:00,JB Sentral,Woodlands CIQ,240
2022-07-04,20:00,JB Sentral,Woodlands CIQ,240
2022-07-04,20:00,Woodlands CIQ,JB Sentral,139
2022-07-04,21:00,JB Sentral,Woodlands CIQ,240
2022-07-04,21:00,Woodlands CIQ,JB Sentral,95
2022-07-04,22:00,JB Sentral,Woodlands CIQ,244
2022-07-04,22:00,Woodlands CIQ,JB Sentral,50
2022-07-04,23:00,Woodlands CIQ,JB Sentral,28
2022-07-05,05:00,JB Sentral,Woodlands CIQ,314
2022-07-05,06:00,JB Sentral,Woodlands CIQ,480
2022-07-05,07:00,JB Sentral,Woodlands CIQ,480
2022-07-05,08:00,JB Sentral,Woodlands CIQ,194
2022-07-05,08:00,Woodlands CIQ,JB Sentral,159
2022-07-05,09:00,Woodlands CIQ,JB Sentral,240
2022-07-05,10:00,JB Sentral,Woodlands CIQ,103
2022-07-05,11:00,JB Sentral,Woodlands CIQ,85
2022-07-05,11:00,Woodlands CIQ,JB Sentral,241
2022-07-05,12:00,JB Sentral,Woodlands CIQ,84
2022-07-05,12:00,Woodlands CIQ,JB Sentral,164
2022-07-05,13:00,Woodlands CIQ,JB Sentral,106
2022-07-05,14:00,JB Sentral,Woodlands CIQ,129
2022-07-05,15:00,JB Sentral,Woodlands CIQ,207
2022-07-05,15:00,Woodlands CIQ,JB Sentral,40
